CAPTL_WF,CATHROCK
0.0,0.036818182
0.0,0.036515152
0.0,0.048181818
0.0,0.073636364
0.0,0.07969697
0.0,0.077121212
0.0,0.100151515
0.0,0.087575758
0.0,0.078484848
0.0,0.090606061
0.0,0.112727273
0.0,0.099848485
0.0,0.120757561
0.0,0.12030303
0.0,0.131212121
0.0,0.136515136
0.0,0.135
0.0,0.132727258
0.0,0.12530303
0.0,0.143939379
0.0,0.137575758
0.0,0.138181818
0.0,0.15
0.0,0.164696955
0.0,0.182727258
0.0,0.171818167
0.0,0.166969697
0.0,0.174393924
0.0,0.163181818
0.0,0.169545455
0.0,0.169999985
0.0,0.166515152
0.0,0.161818167
0.0,0.176969682
0.0,0.1901515
0.0,0.165151515
0.0,0.151212121
0.0,0.159696955
0.0,0.157575758
0.043971471,0.153636348
0.042142814,0.158939394
0.043057143,0.145
0.043485693,0.145909076
